model,best_accu_test_iter,best_accu_test_test,best_accu_test_noise,best_accu_test_adv,best_accu_test_sigmoid,best_accu_test_softmax,best_accu_noise_iter,best_accu_noise_test,best_accu_noise_noise,best_accu_noise_adv,best_accu_noise_sigmoid,best_accu_noise_softmax,best_accu_adv_iter,best_accu_adv_test,best_accu_adv_noise,best_accu_adv_adv,best_accu_adv_sigmoid,best_accu_adv_softmax,best_sigmoid_iter,best_sigmoid_test,best_sigmoid_noise,best_sigmoid_adv,best_sigmoid_sigmoid,best_sigmoid_softmax,best_softmax_iter,best_softmax_test,best_softmax_noise,best_softmax_adv,best_softmax_sigmoid,best_softmax_softmax
c10-cifar_nn_one_hidden_halfbiprop,44000,0.3749,0.3679,0.3006,0.9970658189778343,0.6082084578745375,43000,0.3739,0.3725,0.2956,0.998662212000453,0.6279903830479088,47000,0.3698,0.3707,0.3057,0.9999963065597609,0.7260818666281779,27000,0.3403,0.3348,0.2843,0.647390409042583,0.4601264505732656,1000,0.2664,0.2615,0.2364,0.7826553614645528,0.3985036380534805
c10-cifar_nn_one_hidden_nobias_backprop,44000,0.3929,0.3853,0.2817,0.9244405935524047,0.6436417550745757,44000,0.3929,0.3853,0.2817,0.9244405935524047,0.6436417550745757,49000,0.3892,0.3815,0.2945,0.9121515975782872,0.6778779275737637,10500,0.3578,0.3487,0.2671,0.8629565943490228,0.4361080737835551,10500,0.3578,0.3487,0.2671,0.8629565943490228,0.4361080737835551
c10-cifar_nn_one_hidden_nobias_biprop,22500,0.3508,0.3463,0.2752,0.9984768149304355,0.4298728331531683,47500,0.3458,0.3468,0.2897,0.9999967329382367,0.5008781738900888,33000,0.328,0.3207,0.2901,0.9999798449331379,0.5330322978283697,48000,0.338,0.3295,0.2826,0.07269321859578604,0.46566686041599237,500,0.2552,0.2494,0.2131,0.7193598680731692,0.29406087562373245
c10-cifar_nn_one_hidden_nobias_halfbiprop,46500,0.3648,0.3611,0.2853,0.9999730634579957,0.6956091767334255,48000,0.3639,0.3634,0.295,0.9999928321660885,0.7380312684181339,41000,0.3533,0.3521,0.3003,0.9999775780739942,0.6021115559165314,18500,0.3165,0.3118,0.2672,0.4563297305992667,0.3091443804203719,500,0.2552,0.2494,0.2131,0.7193598680731692,0.29406087562373245
c10-cifar_nn_two_hidden_backprop,49500,0.3889,0.385,0.2788,0.9850969943790063,0.8390893000895429,49500,0.3889,0.385,0.2788,0.9850969943790063,0.8390893000895429,45500,0.3792,0.3789,0.3009,0.9928839855304616,0.9480633639616172,1000,0.2267,0.2233,0.1702,0.8133137757771731,0.6863555067806579,3500,0.2389,0.2408,0.1934,0.8438055021990907,0.5652533723094023
c10-cifar_nn_two_hidden_biprop,32000,0.3607,0.3593,0.3199,0.9528585944341396,0.762880062924435,32000,0.3607,0.3593,0.3199,0.9528585944341396,0.762880062924435,49000,0.3553,0.3514,0.3348,0.9681256844111333,0.7092782516234237,500,0.2324,0.2336,0.2124,0.7834942188693274,0.4260994986581632,500,0.2324,0.2336,0.2124,0.7834942188693274,0.4260994986581632
c10-cifar_nn_two_hidden_halfbiprop,48000,0.3836,0.3801,0.3307,0.9798325720639597,0.756817491517314,48000,0.3836,0.3801,0.3307,0.9798325720639597,0.756817491517314,46000,0.3811,0.3799,0.3353,0.9683239111451873,0.7591396281395196,500,0.2324,0.2336,0.2124,0.7834942188693274,0.4260994986581632,500,0.2324,0.2336,0.2124,0.7834942188693274,0.4260994986581632
c10-cifar_nn_two_hidden_nobias_backprop,46000,0.3781,0.3753,0.2492,0.946294315595351,0.7210807096000964,46000,0.3781,0.3753,0.2492,0.946294315595351,0.7210807096000964,47000,0.3634,0.3578,0.2587,0.9591216913128632,0.76113352680196,500,0.1977,0.1956,0.1731,0.7849031101980424,0.6181826387115522,11500,0.3081,0.3017,0.1998,0.9060297520804083,0.5877424101658778
c10-cifar_nn_two_hidden_nobias_biprop,48000,0.3715,0.3658,0.3138,0.906237403507844,0.6578871149743174,48000,0.3715,0.3658,0.3138,0.906237403507844,0.6578871149743174,49500,0.3572,0.3529,0.3226,0.9281491227420039,0.6205649014130826,18500,0.3178,0.306,0.2927,0.7733663334711898,0.42869895050156515,1500,0.2754,0.2742,0.2523,0.9006276973034374,0.37222219999690387
c10-cifar_nn_two_hidden_nobias_halfbiprop,48000,0.3872,0.3797,0.3297,0.9194858453289216,0.7510535076035518,46500,0.3828,0.3826,0.3284,0.961728884649693,0.8992229303698028,50000,0.3774,0.3778,0.3315,0.9537042787880293,0.8746952786912192,18500,0.3178,0.306,0.2927,0.7733663334711898,0.42869895050156515,1500,0.2754,0.2742,0.2523,0.9006276973034374,0.37222219999690387
